ID,Variable,Type,Category,Code_Referenced,In_GitHub,Vercel_Status,EAS_Status,Status,Priority,Notes
1,ANTHROPIC_API_KEY,Secret,AI/LLM,Yes,Yes,Unknown,Unknown,OK,Medium,Used in derivative generation
2,EXPO_PUBLIC_API_URL,Config,URL,Yes,Yes,N/A,Yes,OK,Medium,Mobile backend API endpoint
3,EXPO_PUBLIC_SUPABASE_ANON_KEY,Secret,Infrastructure,Yes,Yes,N/A,Yes,OK,High,Mobile Supabase auth
4,EXPO_PUBLIC_SUPABASE_URL,Secret,Infrastructure,Yes,Yes,N/A,Yes,OK,High,Mobile Supabase endpoint
5,EXPO_TOKEN,Secret,CI/CD,No,Yes,N/A,N/A,OK,Low,EAS mobile build authentication
6,INNGEST_EVENT_KEY,Secret,Background Jobs,Yes,Yes,Unknown,Unknown,OK,High,Publishing events to Inngest
7,INNGEST_SIGNING_KEY,Secret,Background Jobs,Yes,Yes,Unknown,Unknown,OK,High,Inngest webhook verification
8,LINKEDIN_CLIENT_ID,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Medium,LinkedIn OAuth integration
9,LINKEDIN_CLIENT_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,LinkedIn OAuth secret
10,META_APP_ID,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Medium,Meta/Instagram OAuth ID
11,META_APP_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,Meta/Instagram OAuth secret
12,META_WEBHOOK_VERIFY_TOKEN,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Medium,Meta webhook verification
13,NEXT_PUBLIC_APP_URL,Config,URL,Yes,Yes,Unknown,N/A,OK,Low,Web app public URL
14,NEXT_PUBLIC_POSTHOG_HOST,Config,Analytics,Yes,Yes,Unknown,N/A,OK,Low,PostHog server (optional)
15,NEXT_PUBLIC_POSTHOG_KEY,Secret,Analytics,Yes,Yes,Unknown,N/A,OK,Medium,PostHog public API key
16,NEXT_PUBLIC_SITE_URL,Config,URL,Yes,Yes,Unknown,N/A,OK,High,Public site URL for auth redirects
17,NEXT_PUBLIC_SUPABASE_ANON_KEY,Secret,Infrastructure,Yes,Yes,Unknown,N/A,OK,High,Web Supabase anon key
18,NEXT_PUBLIC_SUPABASE_URL,Secret,Infrastructure,Yes,Yes,Unknown,N/A,OK,High,Web Supabase endpoint
19,OPENAI_API_KEY,Secret,AI/LLM,Yes,Yes,Unknown,Unknown,OK,High,Whisper transcription API
20,POSTHOG_HOST,Config,Analytics,Yes,Yes,Unknown,N/A,OK,Low,PostHog server-side host
21,POSTHOG_KEY,Secret,Analytics,Yes,Yes,Unknown,N/A,OK,Medium,PostHog server-side API key
22,RESEND_API_KEY,Secret,Email,Yes,Yes,Unknown,Unknown,OK,High,Email service API key
23,SITE_URL,Config,URL,Yes,Yes,Unknown,Unknown,OK,Medium,Server-side site URL for auth
24,STRIPE_CREATOR_PRICE_ID,Config,Payment,Yes,Yes,Unknown,Unknown,OK,Medium,Creator tier price ID
25,STRIPE_PRO_PRICE_ID,Config,Payment,Yes,Yes,Unknown,Unknown,OK,Medium,Pro tier price ID
26,STRIPE_SECRET_KEY,Secret,Payment,Yes,Yes,Unknown,Unknown,OK,Critical,Stripe API secret
27,STRIPE_V2_WEBHOOK_SECRET,Secret,Payment,Yes,Yes,Unknown,Unknown,REVIEW,Low,Optional v2 webhook endpoint
28,STRIPE_WEBHOOK_SECRET,Secret,Payment,Yes,Yes,Unknown,Unknown,OK,High,Stripe webhook verification
29,SUPABASE_AUTH_EXTERNAL_GOOGLE_CLIENT_ID,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,Google OAuth client ID for Supabase
30,SUPABASE_AUTH_EXTERNAL_GOOGLE_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Critical,Google OAuth secret for Supabase
31,SUPABASE_SERVICE_ROLE_KEY,Secret,Infrastructure,Yes,Yes,Unknown,Unknown,OK,Critical,Supabase service role (server-side)
32,TIKTOK_CLIENT_KEY,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Medium,TikTok OAuth client key
33,TIKTOK_CLIENT_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,TikTok OAuth secret
34,TOKEN_ENCRYPTION_KEY,Secret,Security,Yes,Yes,Unknown,Unknown,OK,Critical,AES-256-GCM key (64 hex chars)
35,TWITTER_BEARER_TOKEN,Secret,OAuth,No,Yes,Unknown,Unknown,REVIEW,Low,Not referenced in code - verify if unused
36,TWITTER_CLIENT_ID,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Medium,Twitter OAuth client ID
37,TWITTER_CLIENT_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,Twitter OAuth secret
38,YOUTUBE_CLIENT_ID,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,High,YouTube/Google OAuth client ID
39,YOUTUBE_CLIENT_SECRET,Secret,OAuth,Yes,Yes,Unknown,Unknown,OK,Critical,YouTube/Google OAuth secret
40,SUPABASE_JWT_SECRET,Secret,Infrastructure,Yes,No,Unknown,Unknown,MISSING,Critical,MISSING FROM GITHUB - Required for auth
41,SUPABASE_PUBLISHABLE_KEY,Secret,Infrastructure,Yes,No,Unknown,Unknown,MISSING,High,MISSING FROM GITHUB - Admin/service role
42,SUPABASE_SECRET_KEY,Secret,Infrastructure,Yes,No,Unknown,Unknown,MISSING,High,MISSING FROM GITHUB - Admin/service role
43,S3_ACCESS_KEY,Secret,Infrastructure,No,No,Unknown,Unknown,OPTIONAL,Low,Storage integration (may be optional)
